 repeat,,,maxVertex, timeTaken,,,,,
20,,,1400,483,529.4,60.04507079,,,
1,,,1500,539,532.65,59.15392499,,,
2,,,1500,515,531.5,59.24747385,,,
3,,,1500,507,536.15,61.49135583,,,
4,,,1500,506,537.6,61.10853158,,,
5,,,1500,491,539.35,60.65543322,,,
6,,,1500,756,543.55,60.03637056,,,
7,,,1500,501,546.1,69.82074793,,,
8,,,1500,511,548.25,69.01630242,,,
9,,,1500,532,550,68.46359002,,,
10,,,1500,544,556.05,72.04200164,,,
11,,,1500,527,559.95,73.45279544,,,
12,,,1500,534,569.45,80.87838499,,,
13,,,1500,534,570.95,80.46344381,,,
14,,,1500,481,573.95,80.13112609,,,
15,,,1500,560,577.5,77.3199096,,,
16,,,1500,498,578.4,77.21017113,,,
17,,,1500,495,584.15,75.16247314,,,
18,,,1500,486,587.95,72.28414327,,,
19,,,1500,588,590.95,69.0007437,,,
20,,,1500,548,589.05,69.60677145,,,
1,,,1600,516,591.7,68.96765069,,,
2,,,1600,608,595.15,66.66907671,,,
3,,,1600,536,594.7,66.60812342,,,
4,,,1600,541,598.5,65.23681557,,,
5,,,1600,575,602.1,63.86902717,,,
6,,,1600,807,607,65.42090443,,,
7,,,1600,544,596.65,45.43621903,,,
8,,,1600,546,599.05,43.74504483,,,
9,,,1600,653,605.85,45.59579274,,,
10,,,1600,622,604.1,44.34541453,,,
11,,,1600,717,606.1,46.06391441,,,
12,,,1600,564,606.65,47.50099722,,,
13,,,1600,594,616.1,56.51446019,,,
14,,,1600,552,625.85,68.12857427,,,
15,,,1600,578,647.15,101.9985939,,,
16,,,1600,613,654.95,102.3962761,,,
17,,,1600,571,657.7,101.9479227,,,
18,,,1600,546,663.95,100.1690545,,,
19,,,1600,550,676.7,100.5935543,,,
20,,,1600,601,679.1,97.94944991,,,
1,,,1700,585,680.15,97.17768587,,,
2,,,1700,599,701.05,118.2924454,,,
3,,,1700,612,706.7,115.8347734,,,
4,,,1700,613,708.35,114.6437388,,,
5,,,1700,673,722.45,119.5365943,,,
6,,,1700,600,721.75,119.8819046,,,
7,,,1700,592,724.2,117.7444154,,,
8,,,1700,682,751.1,144.3927028,,,
9,,,1700,618,751.7,144.1151221,,,
10,,,1700,662,754,142.2236933,,,
11,,,1700,728,753.45,142.6189162,,,
12,,,1700,753,755.45,142.523673,,,
13,,,1700,789,750.15,144.5757041,,,
14,,,1700,978,744.05,145.4215198,,,
15,,,1700,734,739.95,139.5143739,,,
16,,,1700,668,736.35,140.6006944,,,
17,,,1700,696,739.1,139.7286468,,,
18,,,1700,801,737.2,140.6011904,,,
19,,,1700,598,728.7,141.6757231,,,
20,,,1700,622,729.55,140.8991707,,,
1,,,1800,1003,729.95,140.5887901,,,
2,,,1800,712,715.35,125.0428453,,,
3,,,1800,645,713.4,125.4014186,,,
4,,,1800,895,716.6,124.3765082,,,
5,,,1800,659,709.7,117.6019602,,,
6,,,1800,649,711.8,117.0225349,,,
7,,,1800,1130,715.9,116.1396165,,,
8,,,1800,694,694.15,63.15250964,,,
9,,,1800,664,692.55,63.5605596,,,
10,,,1800,651,693.75,63.21881382,,,
11,,,1800,768,694.3,62.874227,,,
12,,,1800,647,708.45,100.7626053,,,
13,,,1800,667,723.5,112.8545874,,,
14,,,1800,896,725.6,112.1363831,,,
15,,,1800,662,719.3,105.3960451,,,
16,,,1800,723,718.7,105.7728947,,,
17,,,1800,658,717.1,105.9463121,,,
18,,,1800,631,718.6,105.2757782,,,
19,,,1800,615,720.75,103.8216462,,,
20,,,1800,630,725.55,100.8518846,,,
1,,,1900,711,727.15,99.50100502,,,
2,,,1900,673,728.8,99.4927133,,,
3,,,1900,709,731.3,98.64134929,,,
4,,,1900,757,731.35,98.62970354,,,
5,,,1900,701,729.5,98.47013974,,,
6,,,1900,731,730.9,98.24239625,,,
7,,,1900,695,736.7,101.6149077,,,
8,,,1900,662,739.6,101.1889322,,,
9,,,1900,688,742.15,99.76302184,,,
10,,,1900,662,744.2,99.01015365,,,
11,,,1900,1051,747.85,97.14843499,,,
12,,,1900,948,733.25,66.20532257,,,
13,,,1900,709,727.2,48.78481213,,,
14,,,1900,770,727.35,48.73048867,,,
15,,,1900,650,725.1,47.68526198,,,
16,,,1900,691,736.75,56.09285066,,,
17,,,1900,688,738,55.29252353,,,
18,,,1900,674,738.95,54.54643121,,,
19,,,1900,711,743.6,52.64918653,,,
20,,,1900,662,757.4,75.05745168,,,
1,,,2000,744,760.2,72.30534668,,,
2,,,2000,723,760.2,72.30534668,,,
3,,,2000,710,761.85,71.78643399,,,
4,,,2000,720,770.65,75.77270374,,,
5,,,2000,729,776.7,76.34416532,,,
6,,,2000,847,789.85,89.25438217,,,
7,,,2000,753,786.05,88.30597226,,,
8,,,2000,713,788.5,88.0200336,,,
9,,,2000,729,790.65,86.59237538,,,
10,,,2000,735,792.75,85.52123467,,,
11,,,2000,759,795.1,84.49036071,,,
12,,,2000,827,795.45,84.34732392,,,
13,,,2000,712,792.7,84.16093606,,,
14,,,2000,725,794.65,82.63061431,,,
15,,,2000,883,794.4,82.85967847,,,
16,,,2000,716,788.95,80.26959508,,,
17,,,2000,707,798.85,82.96370481,,,
18,,,2000,767,806.15,80.85287158,,,
19,,,2000,987,831.4,131.1766186,,,
20,,,2000,718,827.4,127.3459441,,,
1,,,2100,744,830.65,125.2186614,,,
2,,,2100,756,835.05,123.548616,,,
3,,,2100,886,840.4,122.255298,,,
4,,,2100,841,845.75,126.6191451,,,
5,,,2100,992,847.8,126.8698463,,,
6,,,2100,771,855.05,139.0976465,,,
7,,,2100,802,862.25,138.2423025,,,
8,,,2100,756,866,137.5373633,,,
9,,,2100,771,869,135.6531956,,,
10,,,2100,782,870.1,134.9038254,,,
11,,,2100,766,871.45,134.1085479,,,
12,,,2100,772,873.15,132.9116347,,,
13,,,2100,751,874.1,132.2166882,,,
14,,,2100,720,877.75,129.6216661,,,
15,,,2100,774,884.9,124.2967163,,,
16,,,2100,914,885.2,124.0218996,,,
17,,,2100,853,883.65,123.8365965,,,
18,,,2100,1272,891.25,126.4923027,,,
19,,,2100,907,874.95,90.82051414,,,
20,,,2100,783,873.55,90.51575902,,,
1,,,2200,832,874.4,89.69679922,,,
2,,,2200,863,892.5,113.9388109,,,
3,,,2200,993,894,113.7272823,,,
4,,,2200,882,891.2,111.8352171,,,
5,,,2200,1137,896.25,113.6633418,,,
6,,,2200,915,884.9,98.70738254,,,
7,,,2200,877,882.55,98.51234227,,,
8,,,2200,816,881.7,98.63601349,,,
9,,,2200,793,885.9,97.47274923,,,
10,,,2200,809,888.7,95.44692656,,,
11,,,2200,800,890.95,93.98850714,,,
12,,,2200,791,891.65,93.32528004,,,
13,,,2200,824,900.75,91.85622347,,,
14,,,2200,863,901.45,91.29217122,,,
15,,,2200,780,899.55,92.52167598,,,
16,,,2200,883,903.65,88.6823278,,,
17,,,2200,1005,919.15,109.5249431,,,
18,,,2200,946,915.55,107.7230733,,,
19,,,2200,879,912.7,107.6290413,,,
20,,,2200,800,914.65,107.3392433,,,
1,,,2300,1194,936.9,126.6985232,,,
2,,,2300,893,922.7,111.3524986,,,
3,,,2300,937,929.4,113.4823891,,,
4,,,2300,983,937.95,120.3208321,,,
5,,,2300,910,948.6,133.2502197,,,
6,,,2300,868,1018.55,331.5589136,,,
7,,,2300,860,1038.25,333.8401564,,,
8,,,2300,900,1043.5,331.708258,,,
9,,,2300,849,1045.9,330.7877201,,,
10,,,2300,854,1053.45,327.7665207,,,
11,,,2300,814,1069.2,325.2365293,,,
12,,,2300,973,1086.6,320.1337549,,,
13,,,2300,838,1087.1,319.9547501,,,
14,,,2300,825,1091.9,316.7248349,,,
15,,,2300,862,1098.15,312.3844249,,,
16,,,2300,1193,1102.25,309.6479962,,,
17,,,2300,933,1091.9,309.9144024,,,
18,,,2300,889,1093.1,309.3126335,,,
19,,,2300,918,1095.15,308.0219191,,,
20,,,2300,1245,1094.3,308.5594884,,,
1,,,2400,910,1082.55,306.9891949,,,
2,,,2400,1027,1085,305.7325973,,,
3,,,2400,1108,1103.65,313.2915701,,,
4,,,2400,1196,1098.4,314.0935831,,,
5,,,2400,2309,1088.6,313.9457546,,,
6,,,2400,1262,1022.5,126.9560637,,,
7,,,2400,965,1006.75,114.6201392,,,
8,,,2400,948,1006.7,114.6395266,,,
9,,,2400,1000,1009,113.8586381,,,
10,,,2400,1169,1024.25,131.6286143,,,
11,,,2400,1162,1036.9,156.1456473,,,
12,,,2400,983,1048.85,174.3122652,,,
13,,,2400,934,1053.6,173.7167689,,,
14,,,2400,950,1072.05,179.8333951,,,
15,,,2400,944,1079.45,177.5776998,,,
16,,,2400,986,1088.4,174.8820354,,,
17,,,2400,957,1091.1,173.6302484,,,
18,,,2400,930,1093.35,172.0857421,,,
19,,,2400,901,1094.6,170.923621,,,
20,,,2400,1010,1097.85,167.6350281,,,
1,,,2500,959,1098.45,167.3252348,,,
2,,,2500,1400,1105.6,164.0764905,,,
3,,,2500,1003,1084.45,150.8608543,,,
4,,,2500,1000,1089.1,149.6465661,,,
5,,,2500,987,1090.6,148.8547155,,,
6,,,2500,947,1092,147.958031,,,
7,,,2500,964,1094.05,146.1158427,,,
8,,,2500,994,1095,145.2852005,,,
9,,,2500,1305,1095.15,145.1769429,,,
10,,,2500,1422,1097.6,149.260775,,,
11,,,2500,1401,1076.55,129.478905,,,
12,,,2500,1078,1061.1,104.8125645,,,
13,,,2500,1303,1067.85,110.1684237,,,
14,,,2500,1098,1053.25,95.77323821,,,
15,,,2500,1123,1049.75,95.3298291,,,
16,,,2500,1040,1047.5,94.03218934,,,
17,,,2500,1002,1061.8,112.7211744,,,
18,,,2500,955,1061.85,112.6934711,,,
19,,,2500,966,1063.95,110.9758034,,,
20,,,2500,1022,1086.1,132.5160963,,,
1,,,2600,1102,1085,133.1659036,,,
